iter	Logloss
0	0.6791660484
1	0.6659565201
2	0.6526652404
3	0.6399595335
4	0.6285434612
5	0.6174853984
6	0.6078518479
7	0.5972746271
8	0.5891648232
9	0.5804676942
10	0.5725114806
11	0.5653289427
12	0.5573446328
13	0.5505538265
14	0.543149114
15	0.5357696799
16	0.5292811101
17	0.523874142
18	0.5184618439
19	0.5132633999
20	0.5088571276
21	0.5040271523
22	0.4997475337
23	0.4957202859
24	0.492207408
25	0.4887279596
26	0.4845959449
27	0.4814378656
28	0.4771650239
29	0.4742681092
30	0.4706865177
31	0.4677660828
32	0.464941181
33	0.462440463
34	0.4598394372
35	0.457212211
36	0.4549456147
37	0.4525355787
38	0.4500757227
39	0.4478974258
40	0.4453688096
41	0.4425755561
42	0.4406542294
43	0.4387508328
44	0.4367314494
45	0.4347693232
46	0.4330730174
47	0.4313727732
48	0.4293808015
49	0.4279820421
50	0.4255860965
51	0.4241485912
52	0.4227863076
53	0.4209869878
54	0.4192980485
55	0.4179805674
56	0.416481749
57	0.415025691
58	0.4138901821
59	0.412693133
60	0.411223958
61	0.4101268342
62	0.4088435051
63	0.4075816712
64	0.4062067988
65	0.4047854608
66	0.4035137574
67	0.4023289393
68	0.4006897824
69	0.3997107895
70	0.3986620224
71	0.3978423714
72	0.3969924764
73	0.3959886647
74	0.3948821923
75	0.3938175246
76	0.392297981
77	0.3914360276
78	0.3906117732
79	0.3897226767
80	0.3887623926
81	0.3879153457
82	0.3868991342
83	0.3863124715
84	0.38531868
85	0.38454461
86	0.3835891402
87	0.3828041897
88	0.3817719824
89	0.3809051427
90	0.3800838618
91	0.3792697503
92	0.378225792
93	0.3771654292
94	0.3764255925
95	0.3753503059
96	0.3746814415
97	0.3738154406
98	0.3729659055
99	0.3716942313
100	0.3709452185
101	0.3703053461
102	0.369615093
103	0.3688904088
104	0.367977453
105	0.3671822444
106	0.3663058204
107	0.3657346995
108	0.3648152715
109	0.3639450004
110	0.3629026994
111	0.3622968726
112	0.3613967109
113	0.360445516
114	0.359845976
115	0.3588481694
116	0.3581390704
117	0.3571305057
118	0.3560974462
119	0.3554173579
120	0.3547004486
121	0.354096909
122	0.3534102817
123	0.3524485201
124	0.3517358765
125	0.3511322026
126	0.3504804596
127	0.3496026751
128	0.3492007992
129	0.3484009457
130	0.3475578618
131	0.3464729439
132	0.3455988918
133	0.3448403521
134	0.3440166347
135	0.3432336542
136	0.3426778096
137	0.3420161171
138	0.3409063302
139	0.3400237796
140	0.3394220549
141	0.3386338293
142	0.337947583
143	0.3376110548
144	0.3368320925
145	0.335731928
146	0.3349727552
147	0.3345687031
148	0.3336373048
149	0.3328781715
150	0.3324216066
151	0.3320130672
152	0.3311723578
153	0.3305518849
154	0.3295964229
155	0.3291846783
156	0.3285900191
157	0.3280011065
158	0.3275084589
159	0.3265482738
160	0.3261181539
161	0.325529433
162	0.3250139717
163	0.3242102526
164	0.3237983736
165	0.3233380169
166	0.3228593344
167	0.3224151913
168	0.3218444794
169	0.3213098815
170	0.320844721
171	0.3200900088
172	0.3192151565
173	0.3185987827
174	0.3181540731
175	0.3174535692
176	0.3168607146
177	0.3165232957
178	0.3162013893
179	0.315348492
180	0.3147203712
181	0.3142640427
182	0.3137461483
183	0.312752656
184	0.3121121852
185	0.3116688199
186	0.3113532148
187	0.3109204785
188	0.310235842
189	0.3095754562
190	0.3091383045
191	0.3084813881
192	0.3076459724
193	0.3069977453
194	0.3066073355
195	0.3059053763
196	0.3054410745
197	0.3050774449
198	0.3044058587
199	0.3037333352
200	0.3031975516
201	0.3028324428
202	0.3022708464
203	0.3018894672
204	0.3013085813
205	0.3009516883
206	0.3005663919
207	0.300247497
208	0.2996829413
209	0.299280765
210	0.2988240875
211	0.2984320917
212	0.2980518837
213	0.2975618275
214	0.2971179363
215	0.29647787
216	0.2963207984
217	0.2958505587
218	0.2955120487
219	0.2952214533
220	0.2947795104
221	0.294293633
222	0.293912769
223	0.2933639497
224	0.2929694806
225	0.2924390122
226	0.2920366936
227	0.2914796278
228	0.2910636969
229	0.2906166682
230	0.2901038204
231	0.2897875837
232	0.2894129819
233	0.2889909475
234	0.2886101303
235	0.2882627749
236	0.2878379232
237	0.2875052902
238	0.2869829514
239	0.2864732738
240	0.2861796125
241	0.2856150305
242	0.2850760139
243	0.284656357
244	0.2841512259
245	0.2837970365
246	0.2834957379
247	0.2830019587
248	0.2827996666
249	0.2824682212
250	0.2816699253
251	0.2810525653
252	0.2806645969
253	0.2803045386
254	0.2800791946
255	0.2796879218
256	0.2793454905
257	0.2788711754
258	0.2785178985
259	0.277844813
260	0.2775801515
261	0.2772338532
262	0.2769610338
263	0.2765103527
264	0.2762069993
265	0.275765453
266	0.2753251753
267	0.2748770493
268	0.2743841797
269	0.274153834
270	0.2735681793
271	0.2733627676
272	0.2728581062
273	0.2721710277
274	0.2715656067
275	0.2711569276
276	0.2707730939
277	0.2704154844
278	0.2701502088
279	0.2697824355
280	0.2694101398
281	0.2692143409
282	0.2689418819
283	0.2685540949
284	0.2682764662
285	0.267770829
286	0.2673868673
