id,kind,status,decision,base_score,score,base_tp,tp,delta_tp,predictions,candidate_path,sha256
day01_probe01_v11_full,v11_constrained_full,scored,accept,0.905373,0.906324,952,953,1,1059,D:\zgyidong\experiments\submissions\day01_probe01_v11_full.csv,6b59ad62b5d1c3d5153a91309f514532228f72a5498a591bf56c86913c703e93
day01_probe02_v11_local_a,v11_local_batch,ready,pending,0.905373,,952,,,1059,D:\zgyidong\experiments\submissions\day01_probe02_v11_local_a.csv,47e2dde8744119e8d52150624aad742214349d73e30fc6314218561609cc0f21
day01_probe03_v11_local_b,v11_local_batch,ready,pending,0.905373,,952,,,1059,D:\zgyidong\experiments\submissions\day01_probe03_v11_local_b.csv,944f6970cdb0ffb6f7099e988b866f5cf5c06ffbd5f0f9d16486059c3f54883f
day01_opt_probe01_low_med,optimized_balanced,ready,pending,0.905373,,952,,,1059,D:\zgyidong\experiments\submissions\day01_opt_probe01_low_med.csv,4aa0e26113dff4696247cd7060f46fd65b1865e434cfd337244aaae449f09501
day01_opt_probe02_high,optimized_high_risk,ready,pending,0.905373,,952,,,1059,D:\zgyidong\experiments\submissions\day01_opt_probe02_high.csv,6404b33e861f92f09b3871dae4a33738c57547f575e552d8ea60ce7acb95d452
day01_v12_candidate_1059,v12_fusion,ready,pending,0.905373,,952,,,1059,D:\zgyidong\experiments\submissions\day01_v12_candidate_1059.csv,08944514fbd494cfa336985b05243e964e5041b2936a19ee68af9ecab970a211
day02_v13_bucket_meta,v13_bucket_features,rejected,reject,0.906324,,953,,,1059,D:/zgyidong/codexgz/v13/result_record_v13_meta_1059.csv,
day02_v13_fusion_v1,v13_fusion_5model,rejected,reject,0.906324,,953,,,,,
v19_graph_time_probe01_online,v19_graph_time_probe,scored,reject,0.906324,0.905373,953,952,-1,1059,D:\zgyidong\experiments\submissions\v19_graph_time_probe01_online.csv,40dadc00cb15c545a257344027efca3fd05536571a4f29740c97ed9bc5316bc2
