batch_id,kind,status,decision,score,tp,delta_tp,predictions,prediction_delta,submission,sha256
day02_consensus_swap4,ten_day_probe,scored,reject,0.912919,954,-1,1046,0,experiments\v28_ten_day_campaign\submissions\day02_consensus_swap4.csv,bad4edf82eec99ea23d17cf29345770e76a6e48cd085cacb09fcbbb986c14c84
day02_consensus_swap_next4,ten_day_probe,scored,split,0.912919,954,-1,1046,0,experiments\v28_ten_day_campaign\submissions\day02_consensus_swap_next4.csv,4f2c4e9e3b2af97c452ff68b2bc0e927d614b70d57cf7d5886e117af3993e988
day02_consensus_swap_next4_a,adaptive_split,scored,split,0.912919,954,-1,1046,0,experiments\v28_ten_day_campaign\submissions\day02_consensus_swap_next4_a.csv,160874153340332cd59e4e2477b0fef6320e2860cb34fc4cbed2990ec2da5c06
day02_consensus_swap_next4_b,adaptive_split,inferred,reject,0.9138755980861244,955,0,1046,0,experiments\v28_ten_day_campaign\submissions\day02_consensus_swap_next4_b.csv,601d18b07e2ccadbf8147b23fdadaaa0253b6e897099c64b305b7d639c5c211c
day03_precision_remaining_single,ten_day_probe,scored,reject,0.913356,954,-1,1045,-1,experiments\v28_ten_day_campaign\submissions\day03_precision_remaining_single.csv,43c53e5c05a3048b8bd0ce927062b421d9c08f9751d8491deeed36d6fd0da15b
day03_precision_remaining_single2,ten_day_probe,scored,reject,0.913356,954,-1,1045,-1,experiments\v28_ten_day_campaign\submissions\day03_precision_remaining_single2.csv,706855918af6a5b1ea0bd722946ff353ffa792b602dfd81b8ab4786bcac20210
day04_precision_remaining_single3,ten_day_probe,scored,reject,0.913356,954,-1,1045,-1,experiments\v28_ten_day_campaign\submissions\day04_precision_remaining_single3.csv,2e1b50e3bd39b11f1bf3308a3efbe93e1e5a3abf038eedf20d8c63f4585adcfe
day04_precision_inferred_false,inferred_precision,ready,pending,,,,1045,-1,experiments\v28_ten_day_campaign\submissions\day04_precision_inferred_false.csv,58d4b3ca09ef6423e9d788a1c854140a4beb0a65c094040e53e8553a23cd2a29
